listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
113,210094,https://www.airbnb.com/rooms/210094,beautiful studio in the city center,1035711,Barbara,2011-08-29,"Florence, Toscana, Italy",2,Centro Storico,43.76786,11.25178,Entire home/apt,2,1.0,$61.00,6,7,7,7,0,0,,f,2,0.4
114,222527,https://www.airbnb.com/rooms/222527,"Quiet, Sunny apartment in Florence",804468,Mario,2011-07-11,"Florence, Toscana, Italy",3,Rifredi,43.82004,11.22006,Entire home/apt,4,1.0,$42.00,18,48,78,168,2,0,,f,2,2.15
115,224562,https://www.airbnb.com/rooms/224562,Stella apartment at the Duomo,1168814,Andrea,2011-09-16,"Florence, Toscana, Italy",2,Centro Storico,43.772,11.26142,Entire home/apt,4,1.0,$90.00,8,38,60,295,1,0,,t,1,0.73
116,224669,https://www.airbnb.com/rooms/224669,CORTE D'ARNOLFO AMBRA APARTMENT,1169561,Silverio,2011-09-16,"Florence, Toscana, Italy",3,Campo di Marte,43.76796,11.2714,Entire home/apt,4,1.0,$65.00,8,8,37,217,2,0,,t,3,0.58
117,227059,https://www.airbnb.com/rooms/227059,room in the middle of the central,1184498,Enrico,2011-09-20,"Florence, Tuscany, Italy",1,Centro Storico,43.77022,11.2561,Private room,2,1.0,$28.00,15,45,75,75,43,5,,f,2,3.05
118,230853,https://www.airbnb.com/rooms/230853,A Room with a View/Camera Con Vista,1206885,Mariam,2011-09-25,"Florence, Toscana, Italy",1,Campo di Marte,43.77388,11.2844,Private room,2,1.0,$41.00,18,48,78,341,20,2,prot. 296885 pratica 7649/2014/SUAP Firenze pratica telematica MRDMRM51H67Z224N-01122014-1431,f,1,3.69
119,238351,https://www.airbnb.com/rooms/238351,In Centre of Florence! A/c and wifi,866134,Enrica,2011-07-25,"Florence, Tuscany, Italy",3,Centro Storico,43.76914,11.24193,Entire home/apt,4,1.0,$74.00,6,12,14,66,3,0,,f,1,0.39
120,240985,https://www.airbnb.com/rooms/240985,Room & private b with splendid view,681999,Cristina,2011-06-09,"Florence, Toscana, Italy",1,Centro Storico,43.77701,11.25421,Private room,1,1.0,$41.00,21,51,81,81,4,2,,f,1,2.74
121,244610,https://www.airbnb.com/rooms/244610,CENTRAL STUDIO best  location,1269265,Lorenzo,2011-10-09,"Florence, Toscana, Italy",3,Centro Storico,43.77109,11.25798,Entire home/apt,3,1.0,$64.00,0,0,0,0,0,0,,f,3,0.1
122,248623,https://www.airbnb.com/rooms/248623,"TIG ""The ancient Fiesolana"" - Sun Light & Silence",1302596,Rita,2011-10-17,"Florence, Tuscany, Italy",1,Centro Storico,43.7723,11.2616,Entire home/apt,4,2.0,$217.00,29,59,89,179,0,0,048017LTN3181,f,1,0.66
123,249512,https://www.airbnb.com/rooms/249512,B&B Cimabue 9,1224280,Enrico,2011-09-29,"Florence, Tuscany, Italy",2,Campo di Marte,43.76736,11.27223,Entire home/apt,10,4.0,$600.00,23,53,83,173,0,0,,f,2,0.05
