,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial
4891,23080743,https://www.airbnb.com/rooms/23080743,2021-12-17,68639780,2016-04-24,3,Centro Storico,43.76888,11.25716,Entire home/apt,2,1.0,53.0,2.0,10,40,70,339,230,32,2,,t,4,4.94,160.0,8480.0,43.83561643835616,0,1,1,0,0,0,1,1,478.0862304343837,1,0,0,0,0,0,0,1,1,1
4892,23080972,https://www.airbnb.com/rooms/23080972,2021-12-17,171387102,2018-02-03,1,Rifredi,43.81876,11.22293,Entire home/apt,5,1.0,63.0,2.0,0,0,0,0,19,0,0,,t,1,0.43,0.0,0.0,0.0,0,1,0,1,0,0,1,1,5728.955710870139,0,0,0,1,0,0,0,1,0,1
4893,23082445,https://www.airbnb.com/rooms/23082445,2021-12-17,171395406,2018-02-03,2,Rifredi,43.79598,11.19978,Entire home/apt,4,2.0,41.0,3.0,13,28,28,276,168,3,0,,f,1,3.59,19.5,799.5,5.342465753424658,0,1,0,0,1,0,1,0,5190.615216003502,0,0,0,1,0,0,0,1,0,1
4894,23083096,https://www.airbnb.com/rooms/23083096,2021-12-17,171403949,2018-02-03,1,Centro Storico,43.77748,11.25305,Entire home/apt,4,1.0,75.0,3.0,0,0,16,291,68,1,0,,t,1,1.52,1.6,120.0,0.4383561643835617,0,1,0,1,0,0,1,1,541.5132046643224,1,0,0,0,0,0,0,1,0,1
4895,23085404,https://www.airbnb.com/rooms/23085404,2021-12-17,1645859,2012-01-24,59,Centro Storico,43.77473,11.24593,Entire home/apt,6,3.0,92.0,2.0,21,51,81,341,49,3,0,,t,29,1.05,31.5,2898.0,8.63013698630137,0,1,1,0,0,0,1,1,830.7188478132861,1,0,0,0,0,0,0,1,1,1
4896,23086514,https://www.airbnb.com/rooms/23086514,2021-12-17,41048764,2015-08-10,5,Centro Storico,43.77307,11.2534,Entire home/apt,6,2.0,175.0,2.0,0,10,22,220,131,15,6,,t,2,2.95,24.0,4200.0,6.575342465753424,0,1,1,0,0,0,1,1,209.35577129628464,1,0,0,0,0,0,0,1,1,1
4897,23090062,https://www.airbnb.com/rooms/23090062,2021-12-17,69553033,2016-04-29,2,Centro Storico,43.7765,11.24501,Entire home/apt,4,2.0,115.0,3.0,0,0,0,0,267,0,0,,f,2,5.68,0.0,0.0,0.0,0,1,0,0,1,0,1,0,962.0638342212276,1,0,0,0,0,0,0,1,0,1
4898,23090420,https://www.airbnb.com/rooms/23090420,2021-12-17,171486750,2018-02-03,8,Centro Storico,43.76606,11.2487,Entire home/apt,5,2.0,53.0,6.0,19,46,76,351,143,18,0,,t,8,3.1,171.0,9063.0,46.84931506849316,0,1,1,0,0,0,1,1,978.419065799755,1,0,0,0,0,0,0,1,1,1
4899,23097291,https://www.airbnb.com/rooms/23097291,2021-12-17,171400841,2018-02-03,1,Campo di Marte,43.77429,11.2924,Entire home/apt,4,1.0,48.0,2.0,0,0,0,16,102,0,0,,f,1,2.2,0.0,0.0,0.0,0,1,0,1,0,0,1,0,2933.560591099771,0,0,0,0,1,0,0,1,0,1
4900,23097993,https://www.airbnb.com/rooms/23097993,2021-12-17,21076633,2014-09-08,1,Campo di Marte,43.77418,11.29331,Entire home/apt,2,1.0,60.0,6.0,0,0,0,0,0,0,0,,t,1,,0.0,0.0,0.0,0,1,0,1,0,0,1,1,3006.2425430165467,0,0,0,0,1,0,0,1,0,1
4901,23105904,https://www.airbnb.com/rooms/23105904,2021-12-17,5267644,2013-02-28,1,Rifredi,43.78653,11.2451,Entire home/apt,7,2.0,24.0,2.0,0,0,0,0,97,0,0,,t,1,2.14,0.0,0.0,0.0,0,1,0,1,0,0,1,1,1731.057789483813,0,0,0,1,0,0,0,1,0,1
4902,23114461,https://www.airbnb.com/rooms/23114461,2021-12-17,171750272,2018-02-05,1,Rifredi,43.82175,11.22729,Entire home/apt,2,1.0,2000.0,2.0,0,0,0,0,9,1,0,,t,1,0.22,1.6,3200.0,0.4383561643835617,0,1,0,1,0,0,1,1,5878.532149817509,0,0,0,1,0,0,0,1,0,1
4903,23115009,https://www.airbnb.com/rooms/23115009,2021-12-17,5921942,2013-04-14,11,Centro Storico,43.77424,11.25297,Entire home/apt,4,2.0,94.0,3.0,17,47,69,278,1,0,0,,t,11,0.04,0.0,0.0,0.0,0,1,1,0,0,0,1,1,274.8699392699467,1,0,0,0,0,0,0,1,1,1
4904,23116167,https://www.airbnb.com/rooms/23116167,2021-12-17,151231913,2017-09-19,2,Centro Storico,43.77633,11.25438,Entire home/apt,4,2.0,59.0,3.0,12,15,15,186,87,5,0,,t,2,1.89,30.0,1770.0,8.21917808219178,0,1,0,0,1,0,1,1,381.8432348760126,1,0,0,0,0,0,0,1,0,1
4905,23116819,https://www.airbnb.com/rooms/23116819,2021-12-17,32564261,2015-05-04,18,Centro Storico,43.77039,11.25356,Entire home/apt,2,1.0,72.0,2.0,13,41,71,147,153,44,4,,t,6,3.29,286.0,20592.0,70.0,0,1,1,0,0,0,1,1,359.5216174975039,1,0,0,0,0,1,0,1,1,1
4906,23117568,https://www.airbnb.com/rooms/23117568,2021-12-17,171772682,2018-02-05,1,Centro Storico,43.78213,11.23793,Entire home/apt,6,3.0,146.0,2.0,0,0,0,0,0,0,0,,t,1,,0.0,0.0,0.0,0,1,0,1,0,0,1,1,1767.1599222237678,1,0,0,0,0,0,0,1,0,1
4907,23123817,https://www.airbnb.com/rooms/23123817,2021-12-17,19284744,2014-08-01,1,Isolotto Legnaia,43.77042,11.20864,Entire home/apt,2,,22.0,1.0,4,26,36,285,57,42,0,06752170497,t,2,1.25,84.0,1848.0,23.013698630136982,0,1,0,1,0,0,1,1,3824.705528842543,0,0,1,0,0,0,0,1,0,1
4908,23133260,https://www.airbnb.com/rooms/23133260,2021-12-17,5921942,2013-04-14,11,Centro Storico,43.77519,11.25072,Entire home/apt,4,2.0,94.0,3.0,15,45,71,268,1,0,0,,t,11,0.04,0.0,0.0,0.0,0,1,1,0,0,0,1,1,484.3831835198485,1,0,0,0,0,0,0,1,1,1
4909,23133524,https://www.airbnb.com/rooms/23133524,2021-12-17,1280806,2011-10-12,23,Centro Storico,43.77433,11.24234,Private room,2,1.0,100.0,30.0,0,0,0,0,0,0,0,,f,18,,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1108.2306761582013,1,0,0,0,0,0,0,0,1,1
4910,23133786,https://www.airbnb.com/rooms/23133786,2021-12-17,126869207,2017-04-21,4,Centro Storico,43.78272,11.23581,Private room,2,1.0,30.0,1.0,0,0,0,37,99,0,0,,f,4,2.12,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1945.3417378766744,1,0,0,0,0,0,0,0,1,1
